,RANDOM,BSF,DFS,SEC
100,1.0,1.0,1.0,1.0
90,0.8999931539753537,0.9751863888526167,0.9678791115211213,0.9750034891733125
80,0.7992298057013838,0.9532666469847374,0.9389872332240103,0.953216469753227
70,0.6993404943389536,0.9363385333409467,0.915967757574579,0.9365954949103572
60,0.6013486986354162,0.863673084282453,0.8960233335963249,0.8884434136498955
50,0.5002378106931837,0.77951095158535,0.8518256841729214,0.8657978568102808
40,0.39900048864319715,0.6837818255745212,0.7823664052979454,0.8036571407647752
30,0.3010422941840856,0.573584706299806,0.6972006402255111,0.7385233535848172
20,0.2021298898048646,0.4466821341361665,0.5850097961110106,0.6219399876084888
10,0.1020316358150273,0.29883749983526703,0.42920612729854,0.42503476355417236
5,0.048630617572451684,0.1985831299189807,0.32243431746047496,0.3195837423699365
2,0.01956013208412945,0.11521328710996045,0.22091469036448477,0.17135562070031024
1,0.008742979189055021,0.09116974472694533,0.16038906129842107,0.10839036122887777
0.5,0.003316898356502317,0.07797030683460503,0.11883857013152296,0.07776821407630961
0.2,0.0016666666666666668,0.05010683760683761,0.06423076923076922,0.039188034188034196
0.1,0.0016666666666666668,0.041666666666666664,0.038421052631578946,0.025000000000000005
